url,file_path,include,found_links_count,definite_links,probable_links,timestamp,contains_policy,policy_title,policy_content_path,extraction_reasoning
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/,20250330090222185009.md,True,61,"[""https://medicine.yale.edu/diagnosticradiology/quality-safety/"", ""https://medicine.yale.edu/myysm/policies/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses/"", ""https://files-profile.medicine.yale.edu/documents/cba873d8-f1ac-4003-a2fb-9b9745988403""]",[],20250330090222185009,False,,,The content is a navigation/menu page with links pointing to various policies rather than containing substantive policy text itself.
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/,20250330090236555404.md,True,59,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/"", ""https://your.yale.edu/research-support/conflict-interest-office/policies-procedures-guidance"", ""https://provost.yale.edu/""]","[""https://medicine.yale.edu/diagnosticradiology/facintranet"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/development/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/development/cv/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/development/courses/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/outsidereads/""]",20250330090236555404,True,YDR Conflict of Interest Policy,/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/YDR_Conflict_of_Interest_Policy_20250330090236555404/content.md,"The document contains substantive policy text outlining principles and guidelines for external clinical, consulting, and educational activities under the title 'YDR Conflict of Interest Policy'. It clearly presents rules and procedures for managing conflicts of interest."
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast/,20250330090314418845.md,True,71,"[""https://files-profile.medicine.yale.edu/documents/6e6c8a17-d066-48e2-b62f-1ccfd56feca5"", ""https://files-profile.medicine.yale.edu/documents/09c71c44-be7e-494d-813b-441704ea912d"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/premed/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/oral/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/kidney/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/nephropathy%20/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/glucophage/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/gadolinium/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/powerinjection/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/breastfeeding/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/myastheniagravis/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/intraosseousneedlecontrastinjection/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/pregnantpatientpolicy/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/oralcontrastct-ed/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/suspectpeinpregnancypolicy/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/insulinpumpctpolicy/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/critguidelines/""]",[],20250330090314418845,True,Contrast Issues and Policies,/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/Contrast_Issues_and_Policies_20250330090314418845/content.md,"The document, while containing extensive navigation and link elements, clearly centers on policy guidelines for contrast use in diagnostic studies. Its main heading 'Contrast Issues and Policies' and brief explanatory text qualify it as a policy document."
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/breastfeeding/,20250330090342617063.md,True,54,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses/""]","[""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/""]",20250330090342617063,True,Diagnostic Radiology Procedures on Breastfeeding Patients,/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/Diagnostic_Radiology_Procedures_on_Breastfeeding_Patients_20250330090342617063/content.md,"The content includes a clear policy statement and detailed procedures regarding imaging breastfeeding patients, indicating it is substantive policy text rather than navigational or placeholder content."
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/oral/,20250330090409052905.md,True,55,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/premedication/""]","[""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/outsidereads/""]",20250330090409052905,True,Oral Contrast Policies,/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/Oral_Contrast_Policies_20250330090409052905/content.md,"The content includes detailed guidelines for administering oral contrast in patients with a history of IV contrast reactions, indicating it is a substantive policy document. The heading 'Oral Contrast Policies' serves as the official title."
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/premed/,20250330090432960825.md,True,55,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses/"", ""https://www.acr.org/-/media/ACR/Files/Clinical-Resources/Contrast_Media.pdf""]","[""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/""]",20250330090432960825,True,Pre-Medication Policy,/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/Pre-Medication_Policy_20250330090432960825/content.md,"The markdown content contains a detailed policy outlining guidelines and protocols for the pre-administration of contrast agents, including tables, dosing regimens, and clinical decision criteria, clearly representing substantive policy text."
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/kidney/,20250330090551833191.md,True,54,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/kidney/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses/""]","[""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/""]",20250330090551833191,True,Single Kidney,/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/Single_Kidney_20250330090551833191/content.md,The content includes substantive policy text regarding IV contrast administration for patients with a solitary kidney. The heading 'Single Kidney' serves as the official title of the guideline.
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/nephropathy%20/,20250330090622063631.md,True,51,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses/""]","[""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/outsidereads/""]",20250330090622063631,False,,,"The content is a 404 error page with navigation menus and error messages, not actual policy text or guidelines."
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/,20250330090649533105.md,True,55,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/""]","[""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/sops/outsidereads/""]",20250330090649533105,False,,,"The content is primarily navigation and menu links; it only displays a title ('Clinical Guidelines') without any substantive policy text, procedures, or guidelines."
https://medicine.yale.edu/diagnosticradiology/patientcare/policies/oralcontrastct-ed/,20250330090719350477.md,True,259,"[""https://medicine.yale.edu/diagnosticradiology/education/residency/wellbeing-policy/""]",[],20250330090719350477,True,YDR Oral Contrast Policy for Abdominal CT in ED Patients,/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/YDR_Oral_Contrast_Policy_for_Abdominal_CT_in_ED_Patients_20250330090719350477/content.md,The document contains substantive policy guidelines detailing when and how to use oral contrast for abdominal CT in ED patients. The official title is clearly indicated at the top.
